Eteläesplanadi,Kaivokatu,Kuusisaarentie,Merikannontie,Länsituulenkuja,year,month,day,weekday
1100,2302,1528,2441,584,2018,7,8,6
1846,4018,2280,3675,1170,2018,7,9,0
1864,4167,2307,3571,1129,2018,7,10,1
1996,4369,2355,3941,1119,2018,7,11,2
1824,4266,2386,4293,1138,2018,7,12,3
1864,4064,2019,3769,1047,2018,7,13,4
1335,3156,1452,3195,697,2018,7,14,5
1221,3431,1916,3278,659,2018,7,15,6
1987,5269,2622,4975,1018,2018,7,16,0
1727,4466,2428,4630,1096,2018,7,17,1
1805,4454,2407,4443,1122,2018,7,18,2
1697,4262,2205,4242,938,2018,7,19,3
856,2208,825,1504,520,2018,7,20,4
1070,2513,968,2390,692,2018,7,21,5
1110,2639,1610,3460,655,2018,7,22,6
1591,4179,2324,4464,1165,2018,7,23,0
1741,4442,2515,4559,1234,2018,7,24,1
1832,4722,2554,4675,1150,2018,7,25,2
1715,4855,2153,4287,1074,2018,7,26,3
1743,4196,1871,3792,1153,2018,7,27,4
1319,2984,1342,2723,993,2018,7,28,5
1000,2485,1358,2851,637,2018,7,29,6
1847,4739,2742,4723,1304,2018,7,30,0
2152,5221,3029,5094,1295,2018,7,31,1
2146,5359,3059,5163,1255,2018,8,1,2
2171,5327,2900,4847,1252,2018,8,2,3
1919,4694,2188,3889,1140,2018,8,3,4
1443,3266,1330,2529,815,2018,8,4,5
1244,2924,1593,2943,836,2018,8,5,6
2167,5601,3226,4573,1510,2018,8,6,0
2387,5893,3748,5005,1565,2018,8,7,1
2435,6307,3896,5569,1610,2018,8,8,2
2652,6957,3426,5299,1603,2018,8,9,3
2213,5989,2729,3868,1424,2018,8,10,4
1769,3745,1508,2964,1041,2018,8,11,5
1114,2578,774,1396,631,2018,8,12,6
2405,5886,3707,4817,1692,2018,8,13,0
2472,6291,3927,5175,1736,2018,8,14,1
2483,6258,3461,4643,1569,2018,8,15,2
2686,6529,3698,5065,1656,2018,8,16,3
2463,5857,3116,4592,1609,2018,8,17,4
1478,3386,1464,2454,1021,2018,8,18,5
1184,3120,1208,2327,723,2018,8,19,6
1406,3540,2570,3136,1121,2018,8,20,0
2160,5598,3238,4449,1664,2018,8,21,1
2363,5790,3332,4503,1535,2018,8,22,2
2642,6182,2842,3955,1376,2018,8,23,3
1974,5165,2793,3903,1672,2018,8,24,4
1074,2632,976,1847,1340,2018,8,25,5
722,2255,1021,1756,591,2018,8,26,6
1952,5249,3303,4137,1451,2018,8,27,0
2094,5475,3038,4123,1464,2018,8,28,1
2193,5816,3477,4697,1475,2018,8,29,2
1769,4940,2682,3777,1334,2018,8,30,3
1707,4882,2504,3433,1357,2018,8,31,4
790,2314,663,1342,641,2018,9,1,5
951,2659,1276,2284,724,2018,9,2,6
1936,5692,3439,4668,1601,2018,9,3,0
2000,5514,3075,4161,1421,2018,9,4,1
1956,5255,2923,3955,1435,2018,9,5,2
2004,5562,2868,4328,1517,2018,9,6,3
1790,4907,2510,3549,1384,2018,9,7,4
1001,3069,1214,2407,966,2018,9,8,5
715,2497,1184,2199,646,2018,9,9,6
1529,4523,2725,3536,1342,2018,9,10,0
1166,3346,1865,2668,922,2018,9,11,1
1516,4387,2415,3206,1315,2018,9,12,2
1660,4816,2596,3689,1377,2018,9,13,3
1427,4110,2016,2827,1318,2018,9,14,4
482,1410,413,805,607,2018,9,15,5
646,2097,1314,2316,745,2018,9,16,6
782,2501,1521,2065,858,2018,9,17,0
1546,4472,2552,3506,1312,2018,9,18,1
1743,4829,2814,3882,1468,2018,9,19,2
1734,4543,2534,3341,1402,2018,9,20,3
1412,4003,2030,2627,1230,2018,9,21,4
529,1466,327,791,571,2018,9,22,5
654,1930,927,1811,602,2018,9,23,6
1442,4512,2507,3223,1257,2018,9,24,0
1444,4137,2260,3164,1293,2018,9,25,1
813,2610,1278,1713,719,2018,9,26,2
1196,3761,1759,2436,1123,2018,9,27,3
1110,3576,1642,2229,1111,2018,9,28,4
563,1744,582,1102,724,2018,9,29,5
497,1421,509,951,500,2018,9,30,6
1332,4022,2281,2795,1164,2018,10,1,0
1262,3932,2182,2615,1240,2018,10,2,1
651,2017,1059,1370,651,2018,10,3,2
1177,3553,1851,2436,1124,2018,10,4,3
772,2191,1064,1353,749,2018,10,5,4
551,1737,580,1064,588,2018,10,6,5
580,1371,514,1023,534,2018,10,7,6
940,2624,1493,1788,789,2018,10,8,0
1026,2801,1433,1932,877,2018,10,9,1
1344,3705,2024,2606,1599,2018,10,10,2
1349,3895,1983,2531,1423,2018,10,11,3
1129,3152,1547,1929,1232,2018,10,12,4
685,1830,683,1131,964,2018,10,13,5
744,1772,1069,1832,877,2018,10,14,6
1318,3565,1983,2520,1006,2018,10,15,0
1268,3436,1849,2351,923,2018,10,16,1
1232,3575,1745,2194,777,2018,10,17,2
984,2753,1204,1696,699,2018,10,18,3
986,2847,1407,1849,812,2018,10,19,4
523,1740,502,867,538,2018,10,20,5
400,1290,581,986,502,2018,10,21,6
1024,2819,1462,1953,880,2018,10,22,0
796,2164,1171,1506,725,2018,10,23,1
1036,2878,1223,1739,828,2018,10,24,2
1000,2864,1360,1784,835,2018,10,25,3
778,2171,1092,1386,796,2018,10,26,4
377,967,316,513,431,2018,10,27,5
326,933,436,740,1006,2018,10,28,6
589,1542,1019,1173,924,2018,10,29,0
528,1476,768,1019,624,2018,10,30,1
852,2227,1047,1574,1029,2018,10,31,2
906,2403,1224,1728,1260,2018,11,1,3
626,1736,785,1130,924,2018,11,2,4
331,965,336,719,663,2018,11,3,5
336,892,542,976,708,2018,11,4,6
865,2191,1252,1753,1293,2018,11,5,0
881,2303,1205,1718,1047,2018,11,6,1
901,2138,1062,1570,909,2018,11,7,2
817,2035,1064,1519,1080,2018,11,8,3
709,1915,850,1299,1020,2018,11,9,4
289,778,222,451,486,2018,11,10,5
193,628,250,483,519,2018,11,11,6
623,1503,837,1248,813,2018,11,12,0
552,1451,700,1193,744,2018,11,13,1
855,2189,1005,1470,1074,2018,11,14,2
896,2184,1002,1488,909,2018,11,15,3
729,1886,812,1227,945,2018,11,16,4
378,1036,374,702,675,2018,11,17,5
303,788,410,698,579,2018,11,18,6
721,1825,935,1361,894,2018,11,19,0
734,1828,928,1409,756,2018,11,20,1
691,1743,886,1362,933,2018,11,21,2
730,1725,793,1267,858,2018,11,22,3
556,1595,577,1015,834,2018,11,23,4
265,816,244,556,555,2018,11,24,5
250,628,193,434,396,2018,11,25,6
498,1469,771,1046,669,2018,11,26,0
572,1444,690,1027,513,2018,11,27,1
516,1401,620,994,549,2018,11,28,2
477,1181,493,767,558,2018,11,29,3
312,963,362,541,603,2018,11,30,4
167,579,147,310,336,2018,12,1,5
135,472,152,287,366,2018,12,2,6
463,1257,659,907,624,2018,12,3,0
382,1054,462,791,471,2018,12,4,1
383,1282,547,834,783,2018,12,5,2
161,564,162,347,243,2018,12,6,3
300,883,347,576,435,2018,12,7,4
66,282,65,126,162,2018,12,8,5
105,352,94,269,255,2018,12,9,6
422,1268,591,883,609,2018,12,10,0
505,1440,615,921,696,2018,12,11,1
436,1431,600,931,597,2018,12,12,2
470,1375,562,848,672,2018,12,13,3
406,1203,430,713,573,2018,12,14,4
190,514,125,241,348,2018,12,15,5
115,330,154,240,318,2018,12,16,6
207,763,416,559,354,2018,12,17,0
249,905,429,655,396,2018,12,18,1
286,936,417,691,276,2018,12,19,2
323,886,405,610,327,2018,12,20,3
191,677,322,463,318,2018,12,21,4
76,198,74,113,135,2018,12,22,5
57,175,56,127,99,2018,12,23,6
20,68,34,97,90,2018,12,24,0
10,80,48,79,30,2018,12,25,1
32,163,62,107,177,2018,12,26,2
107,372,177,294,255,2018,12,27,3
133,429,171,288,258,2018,12,28,4
79,264,83,170,216,2018,12,29,5
60,290,83,149,156,2018,12,30,6
136,371,153,250,333,2018,12,31,0
50,146,54,100,138,2019,1,1,1
144,410,267,346,258,2019,1,2,2
176,490,303,466,204,2019,1,3,3
152,524,321,373,252,2019,1,4,4
87,271,95,182,189,2019,1,5,5
60,232,102,164,141,2019,1,6,6
272,797,484,696,321,2019,1,7,0
218,637,423,523,270,2019,1,8,1
196,637,447,450,261,2019,1,9,2
220,722,489,570,369,2019,1,10,3
209,664,450,551,375,2019,1,11,4
73,314,148,214,207,2019,1,12,5
52,262,113,175,150,2019,1,13,6
189,696,521,601,318,2019,1,14,0
225,725,509,592,378,2019,1,15,1
207,789,525,611,351,2019,1,16,2
109,419,241,323,199,2019,1,17,3
112,522,401,435,219,2019,1,18,4
63,242,93,142,118,2019,1,19,5
37,211,78,124,61,2019,1,20,6
158,508,411,468,171,2019,1,21,0
167,538,346,446,149,2019,1,22,1
173,635,465,464,202,2019,1,23,2
164,651,437,461,247,2019,1,24,3
166,572,400,397,196,2019,1,25,4
30,156,44,73,96,2019,1,26,5
29,140,62,71,59,2019,1,27,6
139,485,433,425,228,2019,1,28,0
106,380,277,294,121,2019,1,29,1
93,429,325,377,144,2019,1,30,2
97,527,425,431,203,2019,1,31,3
87,488,371,388,164,2019,2,1,4
15,159,74,77,74,2019,2,2,5
11,85,27,52,27,2019,2,3,6
149,504,423,401,174,2019,2,4,0
98,403,347,355,148,2019,2,5,1
107,448,352,360,140,2019,2,6,2
73,446,324,312,126,2019,2,7,3
78,433,343,309,135,2019,2,8,4
17,177,61,84,35,2019,2,9,5
22,140,57,71,32,2019,2,10,6
104,473,369,377,163,2019,2,11,0
115,593,446,483,163,2019,2,12,1
132,567,451,384,190,2019,2,13,2
133,648,391,428,191,2019,2,14,3
132,614,390,366,153,2019,2,15,4
73,284,127,136,85,2019,2,16,5
65,218,105,155,59,2019,2,17,6
192,597,394,402,138,2019,2,18,0
151,524,340,346,115,2019,2,19,1
162,580,395,374,149,2019,2,20,2
158,563,375,362,147,2019,2,21,3
114,485,284,279,139,2019,2,22,4
44,341,82,184,104,2019,2,23,5
69,301,125,139,78,2019,2,24,6
235,892,625,616,259,2019,2,25,0
304,1069,632,642,253,2019,2,26,1
350,1017,624,663,292,2019,2,27,2
291,951,545,623,278,2019,2,28,3
241,770,429,465,227,2019,3,1,4
105,388,134,229,142,2019,3,2,5
97,325,125,247,99,2019,3,3,6
311,879,571,638,265,2019,3,4,0
219,627,463,438,202,2019,3,5,1
193,700,418,482,184,2019,3,6,2
166,634,477,435,195,2019,3,7,3
172,642,371,380,215,2019,3,8,4
70,303,97,149,91,2019,3,9,5
84,278,124,143,104,2019,3,10,6
250,775,488,455,265,2019,3,11,0
237,796,546,487,217,2019,3,12,1
228,852,510,466,251,2019,3,13,2
226,729,438,423,233,2019,3,14,3
204,740,409,445,247,2019,3,15,4
90,362,121,183,114,2019,3,16,5
82,310,125,235,123,2019,3,17,6
287,969,582,707,301,2019,3,18,0
384,1034,597,732,289,2019,3,19,1
358,1023,614,770,332,2019,3,20,2
501,1228,622,889,404,2019,3,21,3
396,1172,640,849,381,2019,3,22,4
129,427,107,215,236,2019,3,23,5
195,648,375,666,222,2019,3,24,6
525,1365,898,1030,543,2019,3,25,0
568,1402,860,1071,514,2019,3,26,1
590,1451,811,1046,690,2019,3,27,2
654,1595,883,1199,686,2019,3,28,3
632,1745,969,1254,761,2019,3,29,4
313,1011,493,803,610,2019,3,30,5
884,2239,1271,1682,713,2019,4,1,0
1047,2552,1279,1715,736,2019,4,2,1
1234,2845,1414,1876,846,2019,4,3,2
1195,2999,1413,1970,829,2019,4,4,3
1201,2847,1247,1706,810,2019,4,5,4
837,2206,872,1720,640,2019,4,6,5
695,1606,1040,1873,543,2019,4,7,6
836,1983,976,1286,614,2019,4,8,0
825,1852,851,1119,545,2019,4,9,1
892,2119,1025,1287,600,2019,4,10,2
1060,2555,1094,1449,714,2019,4,11,3
1070,2609,1174,1496,793,2019,4,12,4
610,1700,543,974,626,2019,4,13,5
569,1475,768,1154,553,2019,4,14,6
1451,3437,1740,2317,916,2019,4,15,0
1646,3726,1891,2665,939,2019,4,16,1
1587,3967,1830,2544,1026,2019,4,17,2
1360,3500,1566,2246,983,2019,4,18,3
742,1824,935,1792,494,2019,4,19,4
649,1757,689,1344,592,2019,4,20,5
597,1848,980,1727,437,2019,4,21,6
687,1863,1069,1875,463,2019,4,22,0
1842,4561,2402,3355,1174,2019,4,23,1
2072,5089,2470,3684,1261,2019,4,24,2
1952,5031,2263,3143,1111,2019,4,25,3
1401,3746,1690,2237,931,2019,4,26,4
1506,3361,1558,3118,928,2019,4,27,5
791,2341,1116,1921,681,2019,4,28,6
1949,4539,2023,2965,1143,2019,4,29,0
1499,3903,1698,2400,1009,2019,4,30,1
1095,2515,977,2294,480,2019,5,1,2
912,2144,996,1568,606,2019,5,2,3
1035,2797,966,1548,718,2019,5,3,4
459,1400,431,944,405,2019,5,4,5
685,1983,1005,1688,492,2019,5,5,6
1875,4541,2294,3210,1079,2019,5,6,0
1795,4568,2162,3063,1149,2019,5,7,1
1929,4695,2070,3161,1165,2019,5,8,2
1937,4607,2156,3249,1067,2019,5,9,3
1155,2896,1234,1719,798,2019,5,10,4
535,1535,500,930,465,2019,5,11,5
627,1862,939,1782,505,2019,5,12,6
1766,4384,2182,2983,1087,2019,5,13,0
1910,4943,2349,3503,1157,2019,5,14,1
2152,5522,2554,3522,1375,2019,5,15,2
2181,5464,2372,3565,1235,2019,5,16,3
2141,5279,2187,3377,1113,2019,5,17,4
1625,3504,965,3191,1041,2019,5,18,5
1332,2865,1784,3258,822,2019,5,19,6
2267,5873,2777,3966,1381,2019,5,20,0
2487,6141,2843,4442,1431,2019,5,21,1
2685,6176,2881,4240,1372,2019,5,22,2
0,4452,1684,2529,799,2019,6,13,3
0,4406,1637,2363,954,2019,6,14,4
0,4895,1223,2708,976,2019,6,26,2
0,3650,733,2136,812,2019,6,27,3
0,4943,1111,3408,1085,2019,6,28,4
0,3390,628,1953,707,2019,6,29,5
0,3010,964,2770,658,2019,6,30,6
0,5154,1104,3813,1298,2019,7,1,0
0,3304,597,2151,747,2019,7,2,1
0,4041,696,2410,915,2019,7,3,2
0,4979,865,3011,994,2019,7,4,3
0,3280,495,1535,654,2019,7,5,4
0,1966,430,1069,538,2019,7,6,5
0,1983,722,1505,437,2019,7,7,6
0,3883,770,2233,862,2019,7,8,0
0,3840,1076,2216,756,2019,7,9,1
0,4712,1617,3336,957,2019,7,10,2
0,3832,1198,2042,759,2019,7,11,3
0,3837,1098,2157,826,2019,7,12,4
0,2848,962,2095,686,2019,7,13,5
0,2441,1076,2082,510,2019,7,14,6
0,4062,961,2553,893,2019,7,15,0
0,2633,725,1544,610,2019,7,16,1
0,4490,1676,3088,922,2019,7,17,2
0,4568,1624,3533,1010,2019,7,18,3
0,3966,1346,2810,890,2019,7,19,4
0,3098,1150,2686,786,2019,7,20,5
0,4087,1391,2641,913,2019,7,22,0
286,4735,1827,3485,1045,2019,7,23,1
1983,4962,1861,3735,1055,2019,7,24,2
1987,4633,1691,3556,1004,2019,7,25,3
1712,4370,1555,3198,1039,2019,7,26,4
1431,3385,1207,3003,842,2019,7,27,5
1090,3016,1164,2821,592,2019,7,28,6
1892,4595,1894,3167,1171,2019,7,29,0
1733,4394,1616,2655,970,2019,7,30,1
2208,5056,1990,3311,1099,2019,7,31,2
1680,5361,1821,3330,1208,2019,8,1,3
2006,4666,1630,2590,1078,2019,8,2,4
1168,3054,973,1741,781,2019,8,3,5
1020,2540,1107,1922,619,2019,8,4,6
1990,5693,2611,3767,1265,2019,8,5,0
2127,5587,2205,3440,1228,2019,8,6,1
1818,5284,1740,3094,1273,2019,8,7,2
1382,5892,2361,3569,1361,2019,8,8,3
1788,5155,1726,2761,1122,2019,8,9,4
1323,3797,1281,2955,908,2019,8,10,5
703,1834,429,879,396,2019,8,11,6
1919,5370,2507,3697,1293,2019,8,12,0
2108,6010,2851,4126,1516,2019,8,13,1
1973,5135,1900,3116,1046,2019,8,14,2
2578,6911,2443,3570,1338,2019,8,15,3
2034,5361,2177,3271,1275,2019,8,16,4
1468,3411,1238,2363,869,2019,8,17,5
1042,2699,1180,2137,641,2019,8,18,6
1283,3757,1550,2429,920,2019,8,19,0
2316,6031,2667,3991,1388,2019,8,20,1
2216,6107,2522,3907,1329,2019,8,21,2
2538,5911,2604,3810,1396,2019,8,22,3
926,2520,714,1203,513,2019,8,23,4
1491,3349,1139,2143,830,2019,8,24,5
1221,2850,1533,2561,692,2019,8,25,6
2524,5999,2802,3996,1405,2019,8,26,0
2718,6539,2900,4329,1488,2019,8,27,1
2673,6294,2795,4564,1458,2019,8,28,2
2757,6311,2659,4445,1470,2019,8,29,3
1976,4636,1466,2513,1330,2019,8,30,4
1407,3375,1083,2103,1918,2019,8,31,5
1246,2912,1384,2745,671,2019,9,1,6
2305,5362,2374,3383,1282,2019,9,2,0
2456,5732,2381,3665,1375,2019,9,3,1
2295,5260,2239,3233,1309,2019,9,4,2
1975,4743,1839,2670,1114,2019,9,5,3
1614,3829,1252,2109,947,2019,9,6,4
863,2238,595,1256,696,2019,9,7,5
640,1888,616,1287,468,2019,9,8,6
1794,4389,1758,2704,1083,2019,9,9,0
2548,5958,2776,4205,1450,2019,9,10,1
1690,4063,1664,2294,941,2019,9,11,2
1556,3707,1319,1977,902,2019,9,12,3
1426,3407,1264,1822,819,2019,9,13,4
1027,2304,662,1184,617,2019,9,14,5
335,1215,227,482,303,2019,9,15,6
1839,4288,1952,2614,1090,2019,9,16,0
2000,4533,1898,2756,1136,2019,9,17,1
1926,4438,1951,2594,1047,2019,9,18,2
1849,4200,1526,2376,1060,2019,9,19,3
1550,4015,1340,2023,988,2019,9,20,4
725,1738,437,793,546,2019,9,21,5
799,1657,741,1379,561,2019,9,22,6
1676,4022,1738,2445,1007,2019,9,23,0
1631,3793,1563,2221,940,2019,9,24,1
1410,3321,1306,1830,843,2019,9,25,2
